Aggregation analysis,PioViewer 1.10.24.3
File, C:\Users\benit\OneDrive\Solves\BB vs BB SRP\BU vs BB SRP 33%\Bu vs BB SRP 33% 3s3h3d.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 18 Freq,BET 18 EV,CHECK Freq,CHECK EV
Ac 9d 9c,100,44.14,21.1341,87.045,55.86,33.8659,110.239,47.30,36.57,52.70,31.44
Ad 7d 3d,100,47.11,23.2984,89.9234,52.89,31.7016,108.975,33.82,36.06,66.18,29.47
Ad 7h 3h,100,46.47,22.2119,86.8995,53.53,32.7881,111.374,51.63,36.29,48.37,29.05
Ad 7h 3s,100,46.29,21.9834,86.3536,53.71,33.0166,111.76,51.87,36.53,48.13,29.23
Ad Kc 4h,100,45.12,20.4322,82.3283,54.88,34.5678,114.531,64.20,37.50,35.80,29.31
Ad Kd 4d,100,46.42,22.7394,89.0627,53.58,32.2605,109.476,34.46,38.04,65.54,29.22
Ad Kd 4h,100,45.68,21.3378,84.9301,54.32,33.6622,112.673,53.31,38.25,46.69,28.42
Ad Kd Qd,100,45.35,22.1361,88.7572,54.65,32.8639,109.328,40.51,37.60,59.49,29.64
Ad Kd Qh,100,43.64,19.054,79.3808,56.36,35.946,115.967,74.25,38.81,25.75,27.68
Ad Ks Qh,100,42.94,18.0456,76.4155,57.06,36.9544,117.746,85.65,38.38,14.35,28.42
Ah 3h 2h,100,47.67,23.868,91.036,52.33,31.132,108.166,32.24,35.77,67.76,28.92
Ah 3s 2d,100,47.19,23.509,90.5746,52.81,31.491,108.423,38.96,35.78,61.04,28.75
Ah 3s 2h,100,47.45,23.8,91.1956,52.55,31.2,107.95,35.07,36.12,64.93,28.54
Ah 4s 4h,100,46.66,23.2371,90.552,53.34,31.7629,108.264,35.00,35.93,65.00,29.52
Ah 7d 5s,100,46.69,22.7154,88.4562,53.31,32.2846,110.111,43.22,36.62,56.78,28.98
Ah 7h 5h,100,47.35,23.5659,90.4966,52.65,31.4341,108.546,32.67,36.20,67.33,29.12
Ah 7h 5s,100,47.05,23.2127,89.6992,52.95,31.7873,109.154,40.27,36.48,59.73,28.62
As 9d 9c,100,43.48,20.4019,85.3203,56.52,34.5981,111.292,57.39,36.30,42.61,32.31
As 9h 7d,100,43.89,19.8932,82.4039,56.11,35.1068,113.766,63.09,37.85,36.91,30.42
As 9h 7s,100,44.50,20.796,84.9757,55.50,34.204,112.045,52.40,38.34,47.60,29.66
As 9s 7s,100,45.99,23.1663,91.5845,54.01,31.8337,107.166,27.27,37.26,72.73,29.80
As Ad 8c,100,42.88,17.7861,75.4198,57.12,37.2138,118.451,98.12,37.31,1.88,32.45
As Ad 8s,100,43.43,18.7903,78.6634,56.57,36.2097,116.381,95.30,36.45,4.70,31.26
As Jd Th,100,42.15,16.2502,70.0949,57.85,38.7498,121.79,95.25,39.25,4.75,28.63
As Js Th,100,42.90,17.6025,74.6,57.10,37.3975,119.085,90.34,38.43,9.66,27.74
As Js Ts,100,44.86,21.7415,88.1182,55.14,33.2586,109.667,51.58,36.82,48.42,29.46
Jc 7c 2c,100,47.60,23.1696,88.5029,52.40,31.8304,110.443,47.73,35.64,52.27,28.35
Jc 7d 2c,100,47.37,22.0908,84.7963,52.63,32.9092,113.682,67.35,35.87,32.65,26.79
Jc 7d 2h,100,47.01,21.0544,81.4369,52.99,33.9456,116.466,83.62,35.46,16.38,26.20
Jh 5d 4c,100,48.60,22.9415,85.8225,51.40,32.0585,113.407,61.61,35.92,38.39,25.86
Jh 5d 4h,100,48.69,23.2969,86.9892,51.31,31.7031,112.348,57.39,35.67,42.61,26.36
Jh 5h 4h,100,48.31,23.1754,87.227,51.69,31.8246,111.937,56.38,34.90,43.62,27.85
Jh 9h 7d,100,46.60,21.5257,83.9779,53.40,33.4743,113.984,63.57,37.29,36.43,26.82
Jh 9h 7h,100,47.20,23.0601,88.8358,52.80,31.9399,109.979,43.90,36.81,56.10,28.13
Jh 9s 7d,100,46.16,20.743,81.6961,53.84,34.257,115.696,71.50,37.22,28.50,26.82
Js 8d 4h,100,47.05,21.1178,81.6041,52.95,33.8822,116.348,80.63,35.69,19.37,26.37
Js 8d 6h,100,46.57,21.0644,82.2412,53.43,33.9356,115.478,78.51,36.00,21.49,26.39
Js 8d 6s,100,46.90,21.8093,84.5408,53.10,33.1907,113.657,64.19,36.74,35.81,26.83
Js 8s 4h,100,47.40,22.0849,84.716,52.60,32.9151,113.773,62.35,36.69,37.65,26.66
Js 8s 4s,100,47.45,22.7365,87.1251,52.55,32.2635,111.625,52.78,35.86,47.22,28.25
Js 8s 6s,100,47.34,22.9683,88.205,52.65,32.0317,110.606,48.46,36.01,51.54,28.29
Js Jd 5d,100,46.89,22.0403,85.4551,53.11,32.9597,112.844,71.16,35.24,28.84,27.33
Js Jd 5h,100,46.63,21.422,83.5275,53.37,33.578,114.392,77.13,35.46,22.87,27.23
Js Td 4d,100,46.17,20.3694,80.2212,53.83,34.6306,116.962,76.40,36.78,23.60,27.67
Js Td 4h,100,45.84,19.3251,76.651,54.16,35.675,119.762,90.12,36.49,9.88,28.27
Js Th 9d,100,45.23,19.994,80.3719,54.77,35.006,116.21,72.01,37.48,27.99,28.64
Js Ts 4s,100,46.74,22.3372,86.8977,53.26,32.6628,111.497,48.79,36.63,51.21,28.89
Js Ts 9d,100,45.73,20.7157,82.3684,54.27,34.2843,114.856,67.21,37.52,32.79,27.65
Js Ts 9s,100,46.69,22.7417,88.5543,53.31,32.2583,110.025,47.70,36.57,52.30,28.32
Kc 3s 3c,100,46.11,21.379,84.3084,53.89,33.6209,113.424,67.79,35.94,32.21,28.74
Kc 3s 3h,100,45.72,20.6299,82.0376,54.28,34.3701,115.131,81.98,35.58,18.02,28.88
Kc 5c 2c,100,47.55,23.4436,89.638,52.45,31.5564,109.395,40.26,35.60,59.74,28.83
Kc 5c 2s,100,47.24,22.6707,87.261,52.76,32.3293,111.405,58.29,35.70,41.71,27.62
Kc 5d 2s,100,46.98,22.0897,85.4936,53.02,32.9103,112.853,66.98,35.63,33.02,27.39
