Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR
3s 3h 3d,3c2c,0.205,99.98,298.113,542.122
3s 3h 3d,4c2c,0.477,24.08,0.02311,0.17451
3s 3h 3d,4c3c,0.841,99.98,297.481,540.957
3s 3h 3d,5c2c,0.706,24.15,0.02149,0.16181
3s 3h 3d,5c3c,0.834,99.98,297.391,540.795
3s 3h 3d,5c4c,0.745,25.46,0.0234,0.1671
3s 3h 3d,6c3c,0.709,99.98,297.482,540.962
3s 3h 3d,6c4c,0.789,24.77,0.01796,0.13187
3s 3h 3d,6c5c,0.740,24.88,0.00839,0.06134
3s 3h 3d,7c3c,0.057,99.98,299.117,543.936
3s 3h 3d,7c4c,0.792,23.93,0.01759,0.13366
3s 3h 3d,7c5c,0.736,24.05,0.01229,0.09294
3s 3h 3d,7c6c,0.672,24.14,0.00392,0.0295
3s 3h 3d,7c6d,0.123,24.10,0.01782,0.13444
3s 3h 3d,7c6h,0.123,24.10,0.01783,0.13453
3s 3h 3d,7c6s,0.123,24.10,0.01782,0.13441
3s 3h 3d,8c4c,0.075,23.18,0.01561,0.12246
3s 3h 3d,8c5c,0.744,23.24,0.0139,0.10876
3s 3h 3d,8c6c,0.746,23.36,0.01257,0.09787
3s 3h 3d,8c7c,0.680,23.58,0.00304,0.02342
3s 3h 3d,8c7d,0.283,23.54,0.01265,0.09769
3s 3h 3d,8c7h,0.283,23.54,0.01269,0.09798
3s 3h 3d,8c7s,0.283,23.54,0.01269,0.09797
3s 3h 3d,9c5c,0.211,24.09,0.01894,0.14295
3s 3h 3d,9c6c,0.709,24.21,0.01765,0.13251
3s 3h 3d,9c7c,0.709,24.44,0.01544,0.11484
3s 3h 3d,9c8c,0.558,24.47,0.02984,0.22168
3s 3h 3d,9c8d,0.259,24.46,0.00878,0.06527
3s 3h 3d,9c8h,0.259,24.46,0.00883,0.06567
3s 3h 3d,9c8s,0.259,24.46,0.00877,0.06521
3s 3h 3d,Tc2c,0.114,26.05,0.0186,0.12982
3s 3h 3d,Tc3c,0.161,99.98,297.35,540.724
3s 3h 3d,Tc4c,0.238,26.23,0.01936,0.13421
3s 3h 3d,Tc5c,0.262,26.29,0.01316,0.091
3s 3h 3d,Tc6c,0.622,26.41,0.00897,0.06177
3s 3h 3d,Tc7c,0.594,26.64,0.07648,0.52206
3s 3h 3d,Tc8c,0.483,26.73,0.15568,1.05878
3s 3h 3d,Tc9c,0.262,27.16,0.03044,0.20377
3s 3h 3d,Tc8d,0.357,26.75,0.1151,0.78235
3s 3h 3d,Tc9d,0.809,27.18,0.00035,0.00235
3s 3h 3d,Tc8h,0.357,26.75,0.11506,0.78207
3s 3h 3d,Tc9h,0.809,27.18,0.00027,0.00182
3s 3h 3d,Tc8s,0.357,26.75,0.11513,0.78258
3s 3h 3d,Tc9s,0.809,27.18,0.00022,0.00147
3s 3h 3d,Jc2c,0.550,30.16,0.01446,0.08715
3s 3h 3d,Jc3c,0.530,99.98,294.967,536.398
3s 3h 3d,Jc4c,0.662,30.40,0.01154,0.069
3s 3h 3d,Jc5c,0.792,30.47,0.00644,0.03844
3s 3h 3d,Jc6c,0.798,30.56,0.03374,0.20074
3s 3h 3d,Jc7c,0.620,30.80,0.40676,2.40104
3s 3h 3d,Jc8c,0.609,30.92,0.59356,3.49059
3s 3h 3d,Jc9c,0.441,31.35,0.1471,0.85321
3s 3h 3d,JcTc,0.419,32.30,0.42276,2.37993
3s 3h 3d,Jc8d,0.091,30.93,0.56827,3.34102
3s 3h 3d,Jc9d,0.827,31.38,0.07769,0.45016
3s 3h 3d,JcTd,0.760,32.33,0.31744,1.78517
3s 3h 3d,Jc8h,0.091,30.93,0.56816,3.34035
3s 3h 3d,Jc9h,0.827,31.38,0.07753,0.44921
3s 3h 3d,JcTh,0.760,32.33,0.31744,1.78514
3s 3h 3d,Jc8s,0.091,30.93,0.56834,3.34141
3s 3h 3d,Jc9s,0.827,31.38,0.07764,0.44987
3s 3h 3d,JcTs,0.760,32.33,0.31739,1.78488
3s 3h 3d,Qc2c,0.834,36.14,0.01469,0.07391
3s 3h 3d,Qc3c,0.842,99.98,293.602,533.909
3s 3h 3d,Qc4c,0.813,36.41,0.59929,2.99274
3s 3h 3d,Qc5c,0.814,36.48,0.92346,4.60321
3s 3h 3d,Qc6c,0.781,36.60,1.32362,6.57599
3s 3h 3d,Qc7c,0.835,36.85,1.68315,8.30568
3s 3h 3d,Qc8c,0.699,37.00,2.04858,10.0657
3s 3h 3d,Qc9c,0.495,37.44,1.48239,7.19903
3s 3h 3d,QcTc,0.461,38.40,1.85851,8.7989
3s 3h 3d,QcJc,0.496,39.80,2.42105,11.0609
3s 3h 3d,Qc9d,0.824,37.48,1.42406,6.9082
3s 3h 3d,QcTd,0.766,38.45,1.77997,8.41771
3s 3h 3d,QcJd,0.818,39.85,2.30773,10.5291
3s 3h 3d,Qc9h,0.824,37.48,1.42367,6.90631
3s 3h 3d,QcTh,0.766,38.45,1.7791,8.41359
3s 3h 3d,QcJh,0.818,39.85,2.30792,10.53
3s 3h 3d,Qc9s,0.824,37.48,1.424,6.90792
3s 3h 3d,QcTs,0.766,38.45,1.77955,8.4157
3s 3h 3d,QcJs,0.818,39.85,2.30759,10.5284
3s 3h 3d,Kc2c,0.802,44.11,3.12243,12.871
3s 3h 3d,Kc3c,0.819,99.98,296.52,539.221
3s 3h 3d,Kc4c,0.846,44.42,3.92426,16.061
3s 3h 3d,Kc5c,0.802,44.52,4.29834,17.5526
3s 3h 3d,Kc6c,0.739,44.68,4.87228,19.825
3s 3h 3d,Kc7c,0.762,44.94,5.32722,21.5517
3s 3h 3d,Kc8c,0.755,45.24,5.89417,23.6888
3s 3h 3d,Kc9c,0.592,45.85,6.06148,24.036
3s 3h 3d,KcTc,0.547,46.91,7.14475,27.6922
3s 3h 3d,KcJc,0.535,48.40,8.64017,32.4599
3s 3h 3d,KcQc,0.215,50.47,12.8459,46.2758
3s 3h 3d,Kc7d,0.067,44.99,5.35115,21.6269
3s 3h 3d,Kc8d,0.405,45.29,5.8875,23.6374
3s 3h 3d,Kc9d,0.810,45.90,6.02582,23.8689
3s 3h 3d,KcTd,0.674,46.96,7.09175,27.4568
3s 3h 3d,KcJd,0.712,48.46,8.5551,32.0994
3s 3h 3d,KcQd,0.486,50.44,12.0192,43.3285
3s 3h 3d,Kc7h,0.067,44.99,5.35111,21.6267
3s 3h 3d,Kc8h,0.405,45.29,5.88775,23.6384
3s 3h 3d,Kc9h,0.810,45.90,6.02574,23.8686
3s 3h 3d,KcTh,0.674,46.96,7.09163,27.4563
3s 3h 3d,KcJh,0.712,48.46,8.55507,32.0993
3s 3h 3d,KcQh,0.486,50.44,12.019,43.328
3s 3h 3d,Kc7s,0.067,44.99,5.35101,21.6263
3s 3h 3d,Kc8s,0.405,45.29,5.88747,23.6373
3s 3h 3d,Kc9s,0.810,45.90,6.02576,23.8687
3s 3h 3d,KcTs,0.674,46.96,7.0917,27.4566
3s 3h 3d,KcJs,0.712,48.46,8.55512,32.0995
3s 3h 3d,KcQs,0.486,50.44,12.0191,43.3282
3s 3h 3d,Ac2c,0.698,56.97,13.0221,41.5569
3s 3h 3d,Ac3c,0.735,99.98,301.152,547.644
3s 3h 3d,Ac4c,0.638,57.38,13.8813,43.9857
3s 3h 3d,Ac5c,0.564,57.54,14.2995,45.1864
3s 3h 3d,Ac6c,0.686,57.40,14.7126,46.6012
3s 3h 3d,Ac7c,0.657,57.81,15.5446,48.8858
3s 3h 3d,Ac8c,0.722,58.50,17.5841,54.6495
3s 3h 3d,Ac9c,0.781,59.57,20.2804,61.8961
3s 3h 3d,AcTc,0.639,61.02,23.8673,71.112
3s 3h 3d,AcJc,0.670,62.95,28.6461,82.7429
3s 3h 3d,Ac4d,0.517,57.41,13.8323,43.8091
3s 3h 3d,Ac5d,0.710,57.58,14.2487,44.9913
3s 3h 3d,Ac6d,0.551,57.47,14.6628,46.3924
3s 3h 3d,Ac7d,0.857,57.88,15.5851,48.9588
3s 3h 3d,Ac8d,0.886,58.56,17.5731,54.5608
3s 3h 3d,Ac9d,0.796,59.63,20.2887,61.861
3s 3h 3d,AcTd,0.706,61.08,23.8727,71.0579
3s 3h 3d,AcJd,0.315,63.02,28.6061,82.534
3s 3h 3d,AcQd,0.434,65.51,34.7808,96.5304
3s 3h 3d,Ac4h,0.517,57.41,13.8324,43.8096
3s 3h 3d,Ac5h,0.710,57.58,14.2489,44.9917
3s 3h 3d,Ac6h,0.551,57.47,14.6628,46.3923
3s 3h 3d,Ac7h,0.857,57.88,15.5851,48.959
3s 3h 3d,Ac8h,0.886,58.56,17.573,54.5604
3s 3h 3d,Ac9h,0.796,59.63,20.2892,61.8624
3s 3h 3d,AcTh,0.706,61.08,23.88,71.0795
3s 3h 3d,AcJh,0.315,63.02,28.6059,82.5332
3s 3h 3d,AcQh,0.434,65.51,34.782,96.5337
3s 3h 3d,Ac4s,0.517,57.41,13.8317,43.8073
3s 3h 3d,Ac5s,0.710,57.58,14.2489,44.9919
3s 3h 3d,Ac6s,0.551,57.47,14.6629,46.3924
3s 3h 3d,Ac7s,0.857,57.88,15.5851,48.9588
3s 3h 3d,Ac8s,0.886,58.56,17.573,54.5605
3s 3h 3d,Ac9s,0.796,59.63,20.2889,61.8616
3s 3h 3d,AcTs,0.706,61.08,23.8758,71.0672
3s 3h 3d,AcJs,0.315,63.02,28.6063,82.5344
3s 3h 3d,AcQs,0.434,65.51,34.781,96.531
3s 3h 3d,2d2c,1.000,59.81,19.7336,59.9859
3s 3h 3d,4d4c,1.000,63.33,40.5274,116.358
3s 3h 3d,4d2d,0.477,26.22,0.02634,0.18263
3s 3h 3d,5d5c,0.991,65.04,45.0223,125.858
3s 3h 3d,5d2d,0.706,26.31,0.02641,0.18248
3s 3h 3d,5d4d,0.745,27.61,0.02419,0.15933
3s 3h 3d,6d6c,0.930,67.00,51.0524,138.541
3s 3h 3d,6d4d,0.789,26.94,0.02259,0.15246
3s 3h 3d,6d5d,0.740,27.06,0.0324,0.21769
3s 3h 3d,7d6c,0.123,24.10,0.01352,0.102
3s 3h 3d,7d7c,0.826,69.14,59.273,155.868
3s 3h 3d,7d4d,0.792,26.14,0.02219,0.15428
3s 3h 3d,7d5d,0.736,26.28,0.00994,0.06878
3s 3h 3d,7d6d,0.672,26.39,0.18256,1.25799
3s 3h 3d,7d6h,0.123,24.11,0.01601,0.12074
3s 3h 3d,7d6s,0.123,24.11,0.016,0.12061
3s 3h 3d,8d7c,0.283,23.54,0.01111,0.0858
3s 3h 3d,8d8c,0.763,71.61,70.8105,179.781
3s 3h 3d,8d4d,0.075,25.44,0.01969,0.1407
3s 3h 3d,8d5d,0.744,25.52,0.01761,0.12547
3s 3h 3d,8d6d,0.746,25.66,0.00951,0.06737
3s 3h 3d,8d7d,0.680,25.87,0.45422,3.19193
3s 3h 3d,8d7h,0.283,23.55,0.01079,0.08333
3s 3h 3d,8d7s,0.283,23.55,0.0108,0.08334
3s 3h 3d,9d8c,0.259,24.46,0.01133,0.08421
3s 3h 3d,9d9c,0.351,74.69,90.4965,220.287
3s 3h 3d,9d5d,0.211,26.36,0.02387,0.16467
3s 3h 3d,9d6d,0.709,26.50,0.01863,0.12781
3s 3h 3d,9d7d,0.709,26.73,0.44247,3.00996
3s 3h 3d,9d8d,0.558,26.78,0.813,5.52
3s 3h 3d,9d8h,0.259,24.47,0.01001,0.07436
3s 3h 3d,9d8s,0.259,24.47,0.00992,0.07368
3s 3h 3d,Td8c,0.357,26.74,0.10631,0.72284
3s 3h 3d,Td9c,0.809,27.18,0.00201,0.01343
3s 3h 3d,Td2d,0.114,28.21,0.02216,0.14282
3s 3h 3d,Td4d,0.238,28.42,0.02309,0.14775
3s 3h 3d,Td5d,0.262,28.49,0.03811,0.24326
3s 3h 3d,Td6d,0.622,28.62,0.22123,1.4053
3s 3h 3d,Td7d,0.594,28.85,0.73,4.60125
3s 3h 3d,Td8d,0.483,28.96,0.9653,6.06103
3s 3h 3d,Td9d,0.262,29.38,1.01023,6.25146
3s 3h 3d,Td8h,0.357,26.77,0.04961,0.33703
3s 3h 3d,Td9h,0.809,27.20,0.00791,0.05284
3s 3h 3d,Td8s,0.357,26.77,0.04953,0.33648
3s 3h 3d,Td9s,0.809,27.20,0.0079,0.05277
3s 3h 3d,Jd8c,0.091,30.92,0.50385,2.96305
3s 3h 3d,Jd9c,0.827,31.37,0.03476,0.20142
3s 3h 3d,JdTc,0.760,32.33,0.29253,1.64506
3s 3h 3d,Jd2d,0.550,32.16,0.02603,0.14715
3s 3h 3d,Jd4d,0.662,32.42,0.05439,0.30505
3s 3h 3d,Jd5d,0.792,32.50,0.21397,1.19715
3s 3h 3d,Jd6d,0.798,32.61,0.50319,2.80592
3s 3h 3d,Jd7d,0.620,32.84,1.05548,5.84323
3s 3h 3d,Jd8d,0.609,32.97,1.38366,7.6301
3s 3h 3d,Jd9d,0.441,33.40,1.13549,6.18131
3s 3h 3d,JdTd,0.419,34.31,1.471,7.79413
3s 3h 3d,Jd8h,0.091,30.95,0.43943,2.58144
3s 3h 3d,Jd9h,0.827,31.41,0.01745,0.10104
3s 3h 3d,JdTh,0.760,32.37,0.23118,1.2987
3s 3h 3d,Jd8s,0.091,30.95,0.43939,2.58122
3s 3h 3d,Jd9s,0.827,31.41,0.01753,0.1015
3s 3h 3d,JdTs,0.760,32.37,0.23117,1.29862
3s 3h 3d,Qd9c,0.824,37.40,1.15564,5.61857
3s 3h 3d,QdTc,0.766,38.36,1.55147,7.35269
3s 3h 3d,QdJc,0.818,39.76,2.10024,9.60322
3s 3h 3d,Qd2d,0.834,37.82,0.28119,1.35172
3s 3h 3d,Qd4d,0.813,38.10,1.18546,5.65657
3s 3h 3d,Qd5d,0.814,38.18,1.39488,6.64218
3s 3h 3d,Qd6d,0.781,38.31,1.78169,8.45478
3s 3h 3d,Qd7d,0.835,38.56,2.32168,10.9468
3s 3h 3d,Qd8d,0.699,38.73,2.86357,13.4422
3s 3h 3d,Qd9d,0.495,39.16,2.61485,12.1393
3s 3h 3d,QdTd,0.461,40.09,3.32663,15.0867
3s 3h 3d,QdJd,0.496,41.42,4.10451,18.0163
3s 3h 3d,Qd9h,0.824,37.44,1.13491,5.51177
3s 3h 3d,QdTh,0.766,38.41,1.50795,7.13848
3s 3h 3d,QdJh,0.818,39.82,2.03434,9.2895
3s 3h 3d,Qd9s,0.824,37.44,1.13499,5.51219
3s 3h 3d,QdTs,0.766,38.41,1.50837,7.14048
3s 3h 3d,QdJs,0.818,39.82,2.03439,9.28969
3s 3h 3d,Kd7c,0.067,44.87,5.09948,20.6627
3s 3h 3d,Kd8c,0.405,45.18,5.6518,22.7456
3s 3h 3d,Kd9c,0.810,45.79,5.72982,22.749
3s 3h 3d,KdTc,0.674,46.86,6.81663,26.4503
3s 3h 3d,KdJc,0.712,48.35,8.16391,30.7007
3s 3h 3d,KdQc,0.486,50.43,12.2661,44.2218
3s 3h 3d,Kd2d,0.802,45.43,3.86987,15.4863
3s 3h 3d,Kd4d,0.846,45.76,4.72801,18.7849
3s 3h 3d,Kd5d,0.802,45.87,5.13731,20.3621
3s 3h 3d,Kd6d,0.739,46.04,5.8574,23.1309
3s 3h 3d,Kd7d,0.762,46.30,6.48817,25.4805
3s 3h 3d,Kd8d,0.755,46.60,7.19349,28.0693
3s 3h 3d,Kd9d,0.592,47.20,7.57412,29.1781
3s 3h 3d,KdTd,0.547,48.21,8.7947,33.1665
3s 3h 3d,KdJd,0.535,49.63,10.1932,37.342
3s 3h 3d,KdQd,0.215,51.50,13.6415,48.1574
3s 3h 3d,Kd7h,0.067,44.93,5.06266,20.4884
3s 3h 3d,Kd8h,0.405,45.23,5.60955,22.5509
3s 3h 3d,Kd9h,0.810,45.84,5.71535,22.6673
3s 3h 3d,KdTh,0.674,46.91,6.77169,26.2473
3s 3h 3d,KdJh,0.712,48.41,8.10036,30.4229
3s 3h 3d,KdQh,0.486,50.40,11.6217,41.9285
3s 3h 3d,Kd7s,0.067,44.93,5.06257,20.4881
3s 3h 3d,Kd8s,0.405,45.23,5.60944,22.5505
3s 3h 3d,Kd9s,0.810,45.84,5.71543,22.6676
3s 3h 3d,KdTs,0.674,46.91,6.77171,26.2474
3s 3h 3d,KdJs,0.712,48.41,8.10042,30.4231
3s 3h 3d,KdQs,0.486,50.40,11.6217,41.9288
3s 3h 3d,Ad3c,0.192,99.98,303.401,551.729
3s 3h 3d,Ad4c,0.517,57.41,13.9062,44.0401
3s 3h 3d,Ad5c,0.710,57.57,14.3187,45.2219
3s 3h 3d,Ad6c,0.551,57.43,14.7381,46.6578
3s 3h 3d,Ad7c,0.857,57.85,15.5639,48.9201
3s 3h 3d,Ad8c,0.886,58.54,17.6061,54.6861
3s 3h 3d,Ad9c,0.796,59.61,20.2994,61.9139
3s 3h 3d,AdTc,0.706,61.07,23.8979,71.1503
3s 3h 3d,AdJc,0.315,63.00,28.7313,82.917
3s 3h 3d,AdQc,0.434,65.64,35.7605,99.0551
3s 3h 3d,Ad2d,0.698,57.83,14.6038,45.9115
3s 3h 3d,Ad4d,0.638,58.24,15.4692,48.2914
3s 3h 3d,Ad5d,0.564,58.41,15.9001,49.4963
3s 3h 3d,Ad6d,0.686,58.28,16.1066,50.2473
3s 3h 3d,Ad7d,0.657,58.68,17.0814,52.925
3s 3h 3d,Ad8d,0.722,59.35,19.0785,58.4428
3s 3h 3d,Ad9d,0.781,60.39,21.7402,65.4515
3s 3h 3d,AdTd,0.639,61.78,25.2053,74.1804
3s 3h 3d,AdJd,0.670,63.61,29.7223,84.9556
3s 3h 3d,Ad4h,0.517,57.44,13.8533,43.8516
3s 3h 3d,Ad5h,0.710,57.61,14.2706,45.0352
3s 3h 3d,Ad6h,0.551,57.50,14.679,46.4193
3s 3h 3d,Ad7h,0.857,57.91,15.6081,49.005
3s 3h 3d,Ad8h,0.886,58.59,17.6016,54.6175
3s 3h 3d,Ad9h,0.796,59.67,20.3108,61.8879
3s 3h 3d,AdTh,0.706,61.13,23.9021,71.0925
3s 3h 3d,AdJh,0.315,63.07,28.6607,82.6201
3s 3h 3d,AdQh,0.434,65.58,34.8713,96.6832
3s 3h 3d,Ad4s,0.517,57.44,13.8528,43.8498
3s 3h 3d,Ad5s,0.710,57.61,14.2708,45.0358
3s 3h 3d,Ad6s,0.551,57.50,14.6791,46.4197
3s 3h 3d,Ad7s,0.857,57.91,15.6082,49.0053
3s 3h 3d,Ad8s,0.886,58.59,17.6016,54.6175
3s 3h 3d,Ad9s,0.796,59.67,20.3103,61.8864
3s 3h 3d,AdTs,0.706,61.13,23.9007,71.0884
3s 3h 3d,AdJs,0.315,63.07,28.6607,82.6199
3s 3h 3d,AdQs,0.434,65.58,34.8706,96.6812
3s 3h 3d,2h2c,1.000,59.81,19.7336,59.9859
3s 3h 3d,2h2d,1.000,59.81,19.6884,59.8476
3s 3h 3d,4h4c,1.000,63.33,40.5274,116.358
3s 3h 3d,4h4d,1.000,63.33,40.6722,116.771
3s 3h 3d,4h2h,0.477,26.22,0.02633,0.18261
3s 3h 3d,5h5c,0.991,65.04,45.0223,125.858
3s 3h 3d,5h5d,0.991,65.04,45.1604,126.241
3s 3h 3d,5h2h,0.706,26.31,0.02641,0.18248
3s 3h 3d,5h4h,0.745,27.61,0.02421,0.15946
3s 3h 3d,6h6c,0.930,67.00,51.0523,138.541
3s 3h 3d,6h6d,0.930,67.00,51.2652,139.117
3s 3h 3d,6h4h,0.789,26.94,0.02267,0.15302
3s 3h 3d,6h5h,0.740,27.06,0.03276,0.22012
3s 3h 3d,7h6c,0.123,24.10,0.01355,0.1022
3s 3h 3d,7h7c,0.826,69.14,59.2727,155.868
3s 3h 3d,7h6d,0.123,24.11,0.01603,0.12083
3s 3h 3d,7h7d,0.826,69.14,59.3492,156.067
3s 3h 3d,7h4h,0.792,26.14,0.02231,0.15513
3s 3h 3d,7h5h,0.736,26.28,0.01005,0.06957
3s 3h 3d,7h6h,0.672,26.39,0.18271,1.25903
3s 3h 3d,7h6s,0.123,24.11,0.01602,0.12079
3s 3h 3d,8h7c,0.283,23.54,0.01115,0.08612
3s 3h 3d,8h8c,0.763,71.61,70.8106,179.781
3s 3h 3d,8h7d,0.283,23.55,0.01081,0.08346
3s 3h 3d,8h8d,0.763,71.61,70.8371,179.848
3s 3h 3d,8h4h,0.075,25.44,0.01972,0.14092
3s 3h 3d,8h5h,0.744,25.52,0.01764,0.12567
3s 3h 3d,8h6h,0.746,25.66,0.00954,0.06757
3s 3h 3d,8h7h,0.680,25.87,0.45412,3.19122
3s 3h 3d,8h7s,0.283,23.55,0.01084,0.08369
3s 3h 3d,9h8c,0.259,24.46,0.01126,0.08369
3s 3h 3d,9h9c,0.351,74.69,90.4977,220.29
3s 3h 3d,9h8d,0.259,24.47,0.0099,0.07355
3s 3h 3d,9h9d,0.351,74.69,90.5386,220.389
3s 3h 3d,9h5h,0.211,26.36,0.02387,0.16465
3s 3h 3d,9h6h,0.709,26.50,0.01863,0.12783
3s 3h 3d,9h7h,0.709,26.73,0.44237,3.00928
3s 3h 3d,9h8h,0.558,26.78,0.81233,5.51542
3s 3h 3d,9h8s,0.259,24.47,0.00987,0.07335
3s 3h 3d,Th8c,0.357,26.74,0.10656,0.72457
3s 3h 3d,Th9c,0.809,27.18,0.0023,0.01541
3s 3h 3d,Th8d,0.357,26.77,0.04988,0.33886
3s 3h 3d,Th9d,0.809,27.20,0.00813,0.05436
3s 3h 3d,Th2h,0.114,28.21,0.02222,0.14321
3s 3h 3d,Th4h,0.238,28.42,0.02313,0.14802
3s 3h 3d,Th5h,0.262,28.49,0.03833,0.24464
3s 3h 3d,Th6h,0.622,28.62,0.22141,1.40646
3s 3h 3d,Th7h,0.594,28.85,0.73029,4.60305
3s 3h 3d,Th8h,0.483,28.96,0.96535,6.06135
3s 3h 3d,Th9h,0.262,29.38,1.01027,6.25166
3s 3h 3d,Th8s,0.357,26.77,0.04984,0.33854
3s 3h 3d,Th9s,0.809,27.20,0.00811,0.0542
3s 3h 3d,Jh8c,0.091,30.92,0.50378,2.96263
3s 3h 3d,Jh9c,0.827,31.37,0.03461,0.20055
3s 3h 3d,JhTc,0.760,32.33,0.29247,1.64476
3s 3h 3d,Jh8d,0.091,30.95,0.43943,2.58144
3s 3h 3d,Jh9d,0.827,31.41,0.0175,0.10132
3s 3h 3d,JhTd,0.760,32.37,0.23119,1.29871
3s 3h 3d,Jh2h,0.550,32.16,0.02602,0.14711
3s 3h 3d,Jh4h,0.662,32.42,0.05436,0.30488
3s 3h 3d,Jh5h,0.792,32.50,0.21396,1.19706
3s 3h 3d,Jh6h,0.798,32.61,0.50301,2.80494
3s 3h 3d,Jh7h,0.620,32.84,1.05533,5.84241
3s 3h 3d,Jh8h,0.609,32.97,1.38327,7.62798
3s 3h 3d,Jh9h,0.441,33.40,1.13495,6.17835
3s 3h 3d,JhTh,0.419,34.31,1.47039,7.79091
3s 3h 3d,Jh8s,0.091,30.95,0.43935,2.581
3s 3h 3d,Jh9s,0.827,31.41,0.01746,0.10108
3s 3h 3d,JhTs,0.760,32.37,0.23112,1.29834
3s 3h 3d,Qh9c,0.824,37.40,1.15568,5.61879
3s 3h 3d,QhTc,0.766,38.36,1.55159,7.35325
3s 3h 3d,QhJc,0.818,39.76,2.10017,9.60291
3s 3h 3d,Qh9d,0.824,37.44,1.13512,5.51283
3s 3h 3d,QhTd,0.766,38.41,1.50898,7.14336
3s 3h 3d,QhJd,0.818,39.82,2.03441,9.28981
3s 3h 3d,Qh2h,0.834,37.82,0.28124,1.35199
3s 3h 3d,Qh4h,0.813,38.10,1.18559,5.6572
3s 3h 3d,Qh5h,0.814,38.18,1.39501,6.64278
3s 3h 3d,Qh6h,0.781,38.31,1.78169,8.45476
3s 3h 3d,Qh7h,0.835,38.56,2.32179,10.9473
3s 3h 3d,Qh8h,0.699,38.73,2.86362,13.4424
3s 3h 3d,Qh9h,0.495,39.16,2.61481,12.1391
3s 3h 3d,QhTh,0.461,40.09,3.32553,15.0817
3s 3h 3d,QhJh,0.496,41.42,4.10561,18.0212
3s 3h 3d,Qh9s,0.824,37.44,1.135,5.51224
3s 3h 3d,QhTs,0.766,38.41,1.50852,7.14117
3s 3h 3d,QhJs,0.818,39.82,2.03443,9.28988
3s 3h 3d,Kh7c,0.067,44.87,5.0996,20.6632
3s 3h 3d,Kh8c,0.405,45.18,5.65189,22.746
3s 3h 3d,Kh9c,0.810,45.79,5.7298,22.749
3s 3h 3d,KhTc,0.674,46.86,6.81666,26.4504
3s 3h 3d,KhJc,0.712,48.35,8.1639,30.7006
3s 3h 3d,KhQc,0.486,50.43,12.2663,44.2227
3s 3h 3d,Kh7d,0.067,44.93,5.06274,20.4887
3s 3h 3d,Kh8d,0.405,45.23,5.60956,22.551
3s 3h 3d,Kh9d,0.810,45.84,5.71556,22.6681
3s 3h 3d,KhTd,0.674,46.91,6.77159,26.2469
3s 3h 3d,KhJd,0.712,48.41,8.10027,30.4225
3s 3h 3d,KhQd,0.486,50.40,11.622,41.9298
3s 3h 3d,Kh2h,0.802,45.43,3.87006,15.487
3s 3h 3d,Kh4h,0.846,45.76,4.72815,18.7854
3s 3h 3d,Kh5h,0.802,45.87,5.13755,20.3631
3s 3h 3d,Kh6h,0.739,46.04,5.85754,23.1314
3s 3h 3d,Kh7h,0.762,46.30,6.48836,25.4812
3s 3h 3d,Kh8h,0.755,46.60,7.19368,28.07
3s 3h 3d,Kh9h,0.592,47.20,7.57404,29.1778
3s 3h 3d,KhTh,0.547,48.21,8.79457,33.166
3s 3h 3d,KhJh,0.535,49.63,10.1932,37.342
3s 3h 3d,KhQh,0.215,51.50,13.6413,48.1567
3s 3h 3d,Kh7s,0.067,44.93,5.06271,20.4886
3s 3h 3d,Kh8s,0.405,45.23,5.60949,22.5507
3s 3h 3d,Kh9s,0.810,45.84,5.71544,22.6676
3s 3h 3d,KhTs,0.674,46.91,6.77159,26.2469
3s 3h 3d,KhJs,0.712,48.41,8.1003,30.4227
3s 3h 3d,KhQs,0.486,50.40,11.6219,41.9295
3s 3h 3d,Ah3c,0.192,99.98,303.404,551.735
3s 3h 3d,Ah4c,0.517,57.41,13.8999,44.0202
3s 3h 3d,Ah5c,0.710,57.57,14.3109,45.1974
3s 3h 3d,Ah6c,0.551,57.43,14.7297,46.631
3s 3h 3d,Ah7c,0.857,57.85,15.5552,48.8926
3s 3h 3d,Ah8c,0.886,58.54,17.596,54.6547
3s 3h 3d,Ah9c,0.796,59.61,20.2928,61.8936
3s 3h 3d,AhTc,0.706,61.07,23.8912,71.1303
3s 3h 3d,AhJc,0.315,63.00,28.7302,82.9141
3s 3h 3d,AhQc,0.434,65.64,35.7584,99.0492
3s 3h 3d,Ah4d,0.517,57.44,13.8446,43.8238
3s 3h 3d,Ah5d,0.710,57.61,14.2633,45.0121
3s 3h 3d,Ah6d,0.551,57.50,14.6711,46.3945
3s 3h 3d,Ah7d,0.857,57.91,15.6007,48.9818
3s 3h 3d,Ah8d,0.886,58.59,17.5951,54.5972
3s 3h 3d,Ah9d,0.796,59.67,20.3056,61.8721
3s 3h 3d,AhTd,0.706,61.13,23.9007,71.0884
3s 3h 3d,AhJd,0.315,63.07,28.6603,82.6189
3s 3h 3d,AhQd,0.434,65.58,34.8692,96.6775
3s 3h 3d,Ah2h,0.698,57.83,14.5954,45.8853
3s 3h 3d,Ah4h,0.638,58.24,15.467,48.2847
3s 3h 3d,Ah5h,0.564,58.41,15.8967,49.4856
3s 3h 3d,Ah6h,0.686,58.28,16.1039,50.2389
3s 3h 3d,Ah7h,0.657,58.68,17.0754,52.9065
3s 3h 3d,Ah8h,0.722,59.35,19.0671,58.4079
